tti;sch_eligible_ue_count;sch_active_ue_count;dl_rb_allocated_count;dl_rb_per_ue_avg;dl_bits_per_rb_avg;dl_capacity_bits_sum_tti;dl_transmitted_bits_sum_tti;dl_throughput_sum_kbps;dl_cqi_wb_avg_idx;dl_sinr_avg;buffer_size_sum_bytes;sch_total_time_us;pdcch_cce_total_count;pdcch_cce_allocated_count;sch_priority_calc_time_us;sch_priority_sort_time_us;dl_prb_utilization_pct;sch_priority_list_size;sch_pdcch_blocked_count;sch_avg_priority_value;sch_eligible_to_active_ratio;sch_priority_min;sch_priority_max;sch_priority_std;dl_throughput_kbps_min;dl_throughput_kbps_max;dl_throughput_kbps_avg;dl_throughput_kbps_std;dl_cqi_wb_idx_min;dl_cqi_wb_idx_max;dl_cqi_wb_idx_avg;dl_cqi_wb_idx_std;dl_sinr_min;dl_sinr_max;dl_sinr_std;dl_rb_utilization_pct;dl_rb_wasted_count;dl_rb_idle_count;dl_spectral_efficiency_bps_hz;dl_spectral_efficiency_avg_ue;dl_spectral_efficiency_peak;dl_throughput_cv_pct;dl_cqi_cv_pct;dl_sinr_cv_pct;dl_rb_allocation_cv_pct;dl_spectral_efficiency_cv_pct;dl_fairness_jain_index;dl_throughput_variance;dl_throughput_std
38;3;3;50;16,67;235,58;23558;23558;23558,0;7,67;8,17;385201;462,4;25;14;7,6;14,4;100,0;3;0;2,0;100,0;1;3;0,82;2268,0;12920,0;7852,67;4364,02;3,0;11,0;8,0;3,0;-2,39;15,32;7,62;100,0;0;0;2,3558;0,7853;1,292;55,57;44,34;13,89;7,48;55,57;0,764;19044667555555,56;4364019,66
39;3;3;50;16,67;235,86;23586;23586;23586,0;7,67;8,19;397263;499,2;25;14;10,3;19,2;100,0;3;0;2,0;100,0;1;3;0,82;2142,0;11400,0;7862,0;4082,36;3,0;11,0;8,0;3,0;-2,31;15,35;7,59;100,0;0;0;2,3586;0,7862;1,14;51,93;44,34;14,24;7,48;51,93;0,7876;16665656000000,0;4082359,12
40;3;3;50;16,67;250,56;25056;25056;25056,0;7,67;8,24;404187;501,9;25;14;10,5;15,2;100,0;3;0;2,0;100,0;1;3;0,82;1890,0;13680,0;8352,0;4879,58;3,0;11,0;8,0;3,0;-2,24;15,42;7,58;100,0;0;0;2,5056;0,8352;1,368;58,42;44,34;14,41;7,48;58,42;0,7455;23810328000000,0;4879582,77
41;3;3;50;16,67;235,58;23558;23558;23558,0;7,67;8,22;416038;513,4;25;14;11,1;19,0;100,0;3;0;2,0;100,0;1;3;0,82;2268,0;12920,0;7852,67;4364,02;3,0;11,0;8,0;3,0;-2,41;15,51;7,69;100,0;0;0;2,3558;0,7853;1,292;55,57;44,34;14,56;7,48;55,57;0,764;19044667555555,56;4364019,66
42;3;3;50;16,67;235,86;23586;23586;23586,0;7,67;8,32;422813;479,1;25;14;8,3;15,4;100,0;3;0;2,0;100,0;1;3;0,82;2142,0;11400,0;7862,0;4082,36;3,0;11,0;8,0;3,0;-2,14;15,56;7,58;100,0;0;0;2,3586;0,7862;1,14;51,93;44,34;14,81;7,48;51,93;0,7876;16665656000000,0;4082359,12
43;3;3;50;16,67;250,56;25056;25056;25056,0;7,67;8,33;428374;479,6;25;14;8,3;14,6;100,0;3;0;2,0;100,0;1;3;0,82;1890,0;13680,0;8352,0;4879,58;3,0;11,0;8,0;3,0;-2,08;15,54;7,54;100,0;0;0;2,5056;0,8352;1,368;58,42;44,34;14,81;7,48;58,42;0,7455;23810328000000,0;4879582,77
44;3;3;50;16,67;235,58;23558;23558;23558,0;7,67;8,34;436451;468,6;25;14;7,6;14,2;100,0;3;0;2,0;100,0;1;3;0,82;2268,0;12920,0;7852,67;4364,02;3,0;11,0;8,0;3,0;-2,02;15,56;7,51;100,0;0;0;2,3558;0,7853;1,292;55,57;44,34;15,09;7,48;55,57;0,764;19044667555555,56;4364019,66
45;3;3;50;16,67;235,86;23586;23586;23586,0;7,67;8,4;437521;478,9;25;14;7,6;13,6;100,0;3;0;2,0;100,0;1;3;0,82;2142,0;11400,0;7862,0;4082,36;3,0;11,0;8,0;3,0;-1,84;15,54;7,43;100,0;0;0;2,3586;0,7862;1,14;51,93;44,34;14,95;7,48;51,93;0,7876;16665656000000,0;4082359,12
46;3;3;50;16,67;250,56;25056;25056;25056,0;7,67;8,42;446188;759,0;25;14;28,1;29,8;100,0;3;0;2,0;100,0;1;3;0,82;1890,0;13680,0;8352,0;4879,58;3,0;11,0;8,0;3,0;-1,84;15,62;7,45;100,0;0;0;2,5056;0,8352;1,368;58,42;44,34;15,32;7,48;58,42;0,7455;23810328000000,0;4879582,77
47;3;3;50;16,67;235,58;23558;23558;23558,0;7,67;8,44;452258;831,1;25;14;17,4;29,8;100,0;3;0;2,0;100,0;1;3;0,82;2268,0;12920,0;7852,67;4364,02;3,0;11,0;8,0;3,0;-1,79;15,57;7,42;100,0;0;0;2,3558;0,7853;1,292;55,57;44,34;14,89;7,48;55,57;0,764;19044667555555,56;4364019,66
