TTI,UE_ID,Num_RBs,RBs,Num_CCE,Tx_Bits,Buffer_Size,Wideband CQI,Subband CQI,SINR
18,1,12,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23]",2,10504,0,11,"[9, 13, 14, 11, 12, 13, 9, 12, 11, 11, 9, 11, 10, 7, 12, 13, 11]",15.6861
18,2,24,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44]",8,8024,0,2,"[3, 3, 4, 3, 3, 1, 3, 3, 3, 2, 2, 1, 2, 3, 3, 1, 1]",-3.3468
18,3,0,0,0,0,0,7,"[8, 4, 3, 5, 4, 6, 10, 4, 10, 8, 8, 7, 7, 11, 10, 9, 12]",7.4568
19,1,0,0,0,0,0,11,"[9, 13, 14, 11, 12, 14, 10, 12, 12, 11, 9, 11, 9, 7, 12, 13, 11]",15.7398
19,2,45,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",8,15040,0,2,"[3, 3, 5, 3, 4, 1, 3, 3, 2, 1, 2, 1, 1, 2, 1, 1, 1]",-4.5451
19,3,0,0,0,0,0,7,"[8, 3, 3, 5, 4, 6, 10, 4, 10, 9, 7, 7, 7, 11, 10, 9, 12]",7.4803
20,1,9,"[0, 1, 2, 6, 7, 8, 12, 13, 14]",2,8072,0,11,"[9, 13, 14, 11, 12, 14, 10, 12, 12, 11, 9, 11, 9, 6, 12, 13, 11]",15.8454
20,2,24,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41, 45, 46, 47]",8,8064,5896,1,"[3, 3, 5, 3, 4, 1, 3, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1]",-6.1841
20,3,0,0,0,0,0,7,"[8, 4, 3, 5, 5, 5, 10, 4, 10, 9, 7, 7, 7, 11, 10, 9, 12]",7.7036
21,1,0,0,0,0,0,11,"[9, 13, 14, 12, 12, 14, 10, 12, 12, 11, 10, 10, 9, 6, 12, 12, 11]",15.8122
21,2,18,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35]",8,5896,0,1,"[2, 2, 4, 2, 4, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-6.8754
21,3,24,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32, 36, 37, 38, 42, 43, 44]",4,14744,0,7,"[8, 4, 3, 5, 5, 5, 11, 5, 9, 9, 7, 7, 7, 11, 10, 9, 12]",7.8506
22,1,3,"[0, 1, 2]",2,2328,0,11,"[9, 13, 15, 12, 12, 14, 11, 12, 12, 11, 10, 10, 9, 5, 11, 13, 11]",15.8746
22,2,0,0,0,0,0,1,"[2, 2, 4, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1]",-6.481
22,3,0,0,0,0,0,8,"[8, 4, 4, 5, 6, 6, 11, 5, 9, 9, 7, 7, 7, 11, 10, 9, 12]",8.0917
23,1,0,0,0,0,0,11,"[9, 12, 15, 12, 12, 14, 11, 12, 12, 11, 10, 10, 9, 4, 11, 12, 11]",15.6061
23,2,0,0,0,0,0,1,"[2, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 2, 4, 3, 1, 1, 1]",-6.2691
23,3,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",4,18584,0,8,"[8, 4, 4, 5, 6, 6, 11, 5, 9, 9, 7, 6, 8, 11, 10, 9, 12]",8.2435
24,1,17,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49]",2,17136,10848,11,"[8, 12, 15, 12, 12, 14, 12, 12, 12, 11, 10, 10, 9, 3, 11, 12, 11]",15.5143
24,2,12,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35]",8,3344,0,1,"[2, 2, 3, 1, 1, 2, 1, 1, 1, 1, 1, 2, 4, 4, 2, 1, 1]",-6.1202
24,3,18,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47]",4,12096,2528,8,"[7, 4, 4, 5, 7, 6, 11, 6, 9, 10, 7, 6, 8, 11, 10, 9, 12]",8.4289
25,1,18,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35]",2,16944,0,11,"[6, 12, 15, 12, 12, 14, 12, 12, 12, 10, 10, 10, 9, 4, 11, 12, 11]",15.4004
25,2,0,0,0,0,0,1,"[2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 5, 4, 2, 1, 1]",-6.235
25,3,9,"[0, 1, 2, 6, 7, 8, 12, 13, 14]",4,5768,0,8,"[7, 4, 4, 5, 7, 6, 11, 6, 9, 10, 8, 5, 8, 11, 11, 10, 12]",8.5155
26,1,3,"[0, 1, 2]",2,2616,0,11,"[9, 12, 15, 13, 12, 15, 12, 12, 12, 10, 10, 10, 9, 5, 11, 13, 11]",16.0026
26,2,0,0,0,0,0,1,"[2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 4, 2, 1, 1]",-7.1173
26,3,0,0,0,0,0,8,"[7, 4, 4, 5, 7, 6, 11, 6, 9, 10, 8, 5, 8, 11, 11, 10, 12]",8.466
27,1,3,"[0, 1, 2]",2,2408,0,11,"[10, 11, 15, 13, 12, 15, 13, 11, 12, 10, 11, 10, 9, 6, 11, 13, 12]",16.2568
27,2,0,0,0,0,0,1,"[2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 3, 1, 1, 1]",-8.0163
27,3,9,"[3, 4, 5, 9, 10, 11, 15, 16, 17]",4,4120,0,8,"[7, 4, 4, 5, 7, 7, 11, 6, 9, 10, 8, 5, 8, 10, 11, 10, 12]",8.4924
28,1,0,0,0,0,0,11,"[11, 11, 15, 13, 12, 15, 13, 11, 13, 10, 11, 11, 9, 6, 11, 13, 12]",16.4547
28,2,21,"[3, 4, 5, 9, 10, 11, 15, 16, 17, 21, 22, 23, 27, 28, 29, 33, 34, 35, 39, 40, 41]",8,6472,0,1,"[2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1]",-9.1269
28,3,18,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 18, 19, 20, 24, 25, 26, 30, 31, 32]",4,11656,0,8,"[7, 3, 4, 5, 8, 7, 11, 6, 8, 10, 8, 4, 8, 10, 11, 10, 12]",8.423
29,1,6,"[0, 1, 2, 9, 10, 11]",2,5872,0,12,"[11, 11, 15, 13, 12, 15, 13, 11, 13, 10, 11, 11, 9, 7, 11, 13, 12]",16.7718
29,2,17,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49]",8,5712,5576,1,"[2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1]",-7.2036
29,3,6,"[6, 7, 8, 15, 16, 17]",4,2536,0,8,"[6, 3, 5, 5, 8, 7, 11, 6, 8, 10, 8, 4, 9, 10, 11, 10, 12]",8.4741
30,1,12,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32]",2,10952,0,12,"[12, 10, 15, 13, 12, 15, 13, 11, 13, 10, 11, 11, 9, 8, 11, 13, 12]",16.9897
30,2,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",8,5040,17520,1,"[1, 4, 1, 1, 1, 3, 1, 1, 1, 2, 3, 3, 2, 1, 2, 1, 2]",-5.5056
30,3,9,"[0, 1, 2, 9, 10, 11, 18, 19, 20]",4,5280,0,8,"[6, 3, 5, 5, 8, 7, 11, 6, 8, 10, 8, 3, 9, 10, 11, 10, 12]",8.4443
31,1,12,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35]",2,11720,0,12,"[12, 9, 15, 14, 12, 15, 14, 11, 13, 10, 11, 11, 9, 8, 11, 13, 12]",17.1796
31,2,18,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47]",8,6048,33768,2,"[1, 4, 2, 1, 1, 4, 1, 1, 3, 3, 4, 4, 3, 1, 4, 2, 3]",-3.1527
31,3,17,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49]",4,11424,26336,8,"[5, 3, 5, 5, 8, 7, 11, 6, 8, 11, 8, 3, 9, 10, 11, 10, 12]",8.3946
32,1,18,"[0, 1, 2, 9, 10, 11, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47]",2,18144,7832,12,"[13, 9, 15, 14, 12, 15, 14, 11, 13, 10, 11, 12, 10, 9, 11, 13, 12]",17.487
32,2,17,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49]",8,5712,36328,3,"[1, 4, 3, 2, 1, 5, 3, 3, 4, 4, 5, 4, 4, 3, 5, 3, 4]",-1.4343
32,3,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",4,10080,16256,8,"[5, 3, 6, 5, 8, 8, 11, 6, 7, 11, 9, 2, 9, 10, 10, 10, 12]",8.2542
33,1,17,"[3, 4, 5, 12, 13, 14, 21, 22, 23, 30, 31, 32, 39, 40, 41, 48, 49]",2,15768,0,12,"[13, 10, 15, 14, 12, 15, 14, 11, 13, 9, 11, 12, 10, 9, 11, 13, 12]",17.7806
33,2,15,"[6, 7, 8, 15, 16, 17, 24, 25, 26, 33, 34, 35, 42, 43, 44]",8,5040,31288,4,"[1, 4, 4, 2, 2, 5, 4, 4, 5, 5, 5, 4, 5, 4, 5, 3, 4]",-0.2955
